pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2
Qatar-3,b,Qatar-3 b,Transit,0.03783,0.00069,-0.00069,0,0,,,0,1.15,0.06,-0.06,4.31,0.47,-0.47,0,1369.8473,149.3801,-149.3801
Qatar-5,b,Qatar-5 b,Transit,0.04127,0.00067,-0.00067,0,0,,,0,1.13,0.06,-0.06,4.32,0.18,-0.18,0,1373.0256,57.2094,-57.2094
XO-6,b,XO-6 b,Transit,0.0815,0.0077,-0.0077,0,0,,,0,1.47,0.06,-0.06,4.4,0,0,1,1398.452,0,0
OGLE2-TR-L9,b,OGLE2-TR-L9 b,Transit,0.0308,0.0005,-0.0005,0,,,,,1.52,0.08,0,4.5,1.5,-1.5,0,1430.175,476.725,-476.725
KMT-2016-BLG-1820L,b,KMT-2016-BLG-1820L b,Microlensing,1.08,0.22,-0.24,0,,,,0,0.04,0.04,-0.02,4.57,5.03,-2.14,0,1452.4831,1598.6849,-680.1562
OGLE-2008-BLG-355L,b,OGLE-2008-BLG-355L b,Microlensing,1.7,0.29,-0.3,0,,,,,0.37,0.3,-0.17,4.6,3.7,-2.2,0,1462,1175.9,-699.2
Kepler-31,c,Kepler-31 c,Transit,0.26,0,0,0,,,,,1.21,0.17,-0.17,4.7,0,0,1,1493.7,0,0
MOA-2011-BLG-293L,b,MOA-2011-BLG-293L b,Microlensing,1.1,0.1,-0.1,0,,,,,0.86,0.06,-0.06,4.8,0.3,-0.3,0,1525.5,95.3,-95.3
OGLE-2018-BLG-0740L,b,OGLE-2018-BLG-0740L b,Microlensing,6.1,0.6,-0.6,0,0,,,0,1,0.1,-0.1,4.8,0.6,-0.6,0,1525.584,190.698,-190.698
WASP-120,b,WASP-120 b,Transit,0.0514,0.0007,-0.0007,0,0.057,0.022,-0.018,0,1.39,0.06,-0.06,4.85,0.21,-0.21,0,1541.4755,66.7443,-66.7443
HD 95086,b,HD 95086 b,Imaging,55.7,2.5,-2.5,0,,,,,1.6,0,0,5,2,-2,0,1589,636,-636
KELT-24,b,KELT-24 b,Transit,0.06969,0.00087,-0.00096,0,0.077,0.024,-0.025,0,1.46,0.06,-0.06,5.18,0.21,-0.22,0,1646.3594,66.7443,-69.9226
WASP-162,b,WASP-162 b,Transit,0.0871,0.0013,-0.0013,0,0.434,0.005,-0.005,0,0.95,0.04,-0.04,5.2,0.2,-0.2,0,1652.716,63.566,-63.566
HATS-66,b,HATS-66 b,Transit,0.04714,0.00025,-0.00025,0,0.064,,,0,1.41,0.02,-0.02,5.33,0.68,-0.68,0,1694.0339,216.1244,-216.1244
Kepler-432,b,Kepler-432 b,Transit,0.301,0.016,-0.011,0,0.5134,0.0098,-0.0089,0,1.32,0.1,-0.07,5.41,0.32,-0.18,0,1719.4603,101.7056,-57.2094
