,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
467,55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.736539,7e-06,-7e-06,0.0,0.01544,9e-05,-9e-05,0,,,,0.0,83.3,0.9,-0.8,0.0,0.02542,0.00098,-0.00098,0.0,Mass,0.17,0.007,-0.007,0,6.4,0.8,-0.7,0.0,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0.0,5.96,0.01,0,V (Johnson),5.714,,0.0,5196.0,24.0,-24.0,0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,1/31/2019,McDonald Observatory
468,K2-273,b,K2-273 b,Transit,0,1,11.716332,0.001172,-0.001198,0.0,0.0974,0.0011,-0.0011,0,,,,0.0,,,,0.0,,,,0.0,,0.394,0.114,-0.114,0,,,,0.0,0,0,1,0,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,310.6,2.88,-2.88,0,310.85,2.98,-2.98,0.0,13.371,0.01,0,V (Johnson),13.146,,0.0,5200.0,67.0,-67.0,0,0.9,0.03,-0.03,0.0,0.84,0.01,-0.01,0.0,10/26/2018,K2
469,Kepler-75,b,Kepler-75 b,Transit,0,1,8.8849116,3.4e-06,-3.4e-06,0.0,0.0818,0.0012,-0.0012,0,0.57,0.01,-0.01,0.0,89.12,0.51,-0.64,0.0,10.1,0.4,-0.4,0.0,Mass,1.05,0.03,-0.03,0,11.0,0.8,-0.9,0.0,0,1,0,1,19h24m33.02s,291.137593,+36d34m38.6s,36.577386,855.5,19.1,-19.1,0,855.5,19.1,-19.1,0.0,15.264,,0,Kepler-band,15.179,,0.0,5200.0,100.0,-100.0,0,0.91,0.04,-0.04,0.0,0.89,0.02,-0.02,0.0,1/29/2015,Kepler
470,Kepler-246,b,Kepler-246 b,Transit,0,2,4.60182,8e-06,-8e-06,0.0,0.052,,,0,,,,,,,,,,,,,,0.209,0.107,-0.107,0,,,,,0,1,0,1,19h45m56.02s,296.483427,+42d39m48.3s,42.663429,637.44,9.19,-9.19,0,637.44,9.19,-9.19,0.0,15.024,,0,Kepler-band,15.042,,0.0,5206.0,200.0,-200.0,0,,,,,0.83,0.42,-0.42,0.0,5/14/2014,Kepler
471,Kepler-246,c,Kepler-246 c,Transit,0,2,11.187161,7.5e-05,-7.5e-05,0.0,0.095,,,0,,,,,,,,,,,,,,0.134,0.068,-0.068,0,,,,,0,1,0,1,19h45m56.02s,296.483427,+42d39m48.3s,42.663429,637.44,9.19,-9.19,0,637.44,9.19,-9.19,0.0,15.024,,0,Kepler-band,15.042,,0.0,5206.0,200.0,-200.0,0,,,,,0.83,0.42,-0.42,0.0,5/14/2014,Kepler
472,Kepler-185,b,Kepler-185 b,Transit,0,2,1.6329,5e-06,-5e-06,0.0,0.026,,,0,,,,,,,,,,,,,,0.104,0.06,-0.06,0,,,,,0,1,0,1,18h49m52.34s,282.468103,+43d53m23.7s,43.889915,473.07,4.79,-4.79,0,473.07,4.79,-4.79,0.0,14.458,,0,Kepler-band,14.443,,0.0,5208.0,200.0,-200.0,0,,,,,0.81,0.46,-0.46,0.0,5/14/2014,Kepler
473,Kepler-185,c,Kepler-185 c,Transit,0,2,20.729042,9.7e-05,-9.7e-05,0.0,0.139,,,0,,,,,,,,,,,,,,0.18,0.104,-0.104,0,,,,,0,1,0,1,18h49m52.34s,282.468103,+43d53m23.7s,43.889915,473.07,4.79,-4.79,0,473.07,4.79,-4.79,0.0,14.458,,0,Kepler-band,14.443,,0.0,5208.0,200.0,-200.0,0,,,,,0.81,0.46,-0.46,0.0,5/14/2014,Kepler
474,Kepler-253,b,Kepler-253 b,Transit,0,3,3.783986,1.7e-05,-1.7e-05,0.0,0.046,,,0,,,,,,,,,,,,,,0.145,0.06,-0.06,0,,,,,0,1,0,1,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,858.93,20.66,-20.66,0,858.93,20.66,-20.66,0.0,15.532,,0,Kepler-band,15.512,,0.0,5208.0,200.0,-200.0,0,,,,,0.79,0.32,-0.32,0.0,5/14/2014,Kepler
475,Kepler-253,c,Kepler-253 c,Transit,0,3,10.281951,3.2e-05,-3.2e-05,0.0,0.089,,,0,,,,,,,,,,,,,,0.236,0.099,-0.099,0,,,,,0,1,0,1,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,858.93,20.66,-20.66,0,858.93,20.66,-20.66,0.0,15.532,,0,Kepler-band,15.512,,0.0,5208.0,200.0,-200.0,0,,,,,0.79,0.32,-0.32,0.0,5/14/2014,Kepler
476,Kepler-253,d,Kepler-253 d,Transit,0,3,18.119869,6.6e-05,-6.6e-05,0.0,0.13,,,0,,,,,,,,,,,,,,0.283,0.116,-0.116,0,,,,,0,1,0,1,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,858.93,20.66,-20.66,0,858.93,20.66,-20.66,0.0,15.532,,0,Kepler-band,15.512,,0.0,5208.0,200.0,-200.0,0,,,,,0.79,0.32,-0.32,0.0,5/14/2014,Kepler
