pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_facility,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_sp,st_spstr,st_sperr,st_splim
Kepler-1649,b,Kepler-1649 b,Transit,0,1,8.68909,0.000024,-0.000024,0,0.0514,0.0028,-0.0028,0,0,,,0,0.096,0.013,-0.013,0,,,,,0,1,0,0,19h30m00.90s,292.503769,+41d49m49.5s,41.830421,92.43,0.54,-0.54,0,92.43,0.54,-0.54,0,17.131,,0,Kepler-band,16.268,,0,3240,61,-61,0,0.22,0.02,-0.02,0,0.25,0.04,-0.04,0,4/27/2017,,,,,Kepler,10.82,0.06,-0.06,0,,,,,,,,
LTT 1445 A,b,LTT 1445 A b,Transit,0,1,5.35882,0.0003,-0.00031,0,0.03807,0.00068,-0.00071,0,0.19,0.35,-0.14,0,0.123,0.012,-0.011,0,4.4,4,-4.2,0,0,0,0,0,03h01m51.39s,45.464111,-16d35m36.1s,-16.593372,6.87,0,0,0,6.87,0,0,0,11.22,0.02,0,V (Johnson),10.047,,0,3337,150,-150,0,0.26,0.01,-0.01,0,0.28,0.02,-0.02,0,8/15/2019,2.1,1.6,-2,0,Transiting Exoplanet Survey Satellite (TESS),145.55,0.08,-0.08,0,-5.43,0,0,0,6.3,M3,,0
G 9-40,b,G 9-40 b,Transit,0,1,5.746007,0.000006,-0.000006,0,0.0385,0.0078,-0.0053,0,0,,,0,0.181,0.009,-0.009,0,,,,0,0,0,1,0,08h58m52.35s,134.718109,+21d04m33.8s,21.076048,27.93,0.04,-0.04,0,27.95,0.04,-0.04,0,13.823,0.04,0,V (Johnson),12.733,,0,3348,32,-32,0,0.29,0.02,-0.02,0,0.31,0.01,-0.01,0,1/16/2020,,,,0,K2,35.78,0.06,-0.06,0,14.65,0.26,-0.26,0,6.2,M2.5 V,,0
K2-72,b,K2-72 b,Transit,0,4,5.577212,0.000417,-0.000419,0,0.04,0.004,-0.005,0,0.11,0.196982,-0.087659,0,0.096,0.01,-0.01,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,66.56,0.2,-0.2,0,66.56,0.2,-0.2,0,15.309,0.05,0,V (Johnson),14.279,,0,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,10/26/2017,,,,0,K2,15.02,0.04,-0.04,0,,,,,,,,
K2-72,c,K2-72 c,Transit,0,4,15.189034,0.003128,-0.003149,0,0.078,0.007,-0.01,0,0.11,0.20197,-0.091536,0,0.103,0.012,-0.012,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,66.56,0.2,-0.2,0,66.56,0.2,-0.2,0,15.309,0.05,0,V (Johnson),14.279,,0,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,10/26/2017,,,,0,K2,15.02,0.04,-0.04,0,,,,,,,,
K2-72,d,K2-72 d,Transit,0,4,7.760178,0.001496,-0.001496,0,0.05,0.004,-0.006,0,0.11,0.207832,-0.09233,0,0.09,0.011,-0.011,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,66.56,0.2,-0.2,0,66.56,0.2,-0.2,0,15.309,0.05,0,V (Johnson),14.279,,0,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,10/26/2017,,,,0,K2,15.02,0.04,-0.04,0,,,,,,,,
K2-72,e,K2-72 e,Transit,0,4,24.158868,0.003726,-0.00385,0,0.106,0.009,-0.013,0,0.11,0.198676,-0.086832,0,0.115,0.012,-0.012,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,66.56,0.2,-0.2,0,66.56,0.2,-0.2,0,15.309,0.05,0,V (Johnson),14.279,,0,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,10/26/2017,,,,0,K2,15.02,0.04,-0.04,0,,,,,,,,
L 98-59,b,L 98-59 b,Transit,0,3,2.25314,0.00002,-0.00002,0,0.0233,0.0017,-0.0017,0,0.1,0.17,-0.07,0,0.071,0.004,-0.004,0,,,,0,0,0,0,0,08h18m07.62s,124.53175,-68d18m46.80s,-68.313,10.62,0,0,0,10.62,0,0,0,,,,,10.598,,0,3367,150,-150,0,0.31,0.01,-0.01,0,0.31,0.01,-0.01,0,6/13/2019,,,,0,Transiting Exoplanet Survey Satellite (TESS),94.14,0.03,-0.03,0,-5.8,0.1,-0.1,0,6.3,M3 V,,0
L 98-59,c,L 98-59 c,Transit,0,3,3.690621,0.000013,-0.000014,0,0.0324,0.0023,-0.0024,0,0.09,0.16,-0.07,0,0.12,0.007,-0.006,0,,,,0,0,0,0,0,08h18m07.62s,124.53175,-68d18m46.80s,-68.313,10.62,0,0,0,10.62,0,0,0,,,,,10.598,,0,3367,150,-150,0,0.31,0.01,-0.01,0,0.31,0.01,-0.01,0,6/13/2019,,,,0,Transiting Exoplanet Survey Satellite (TESS),94.14,0.03,-0.03,0,-5.8,0.1,-0.1,0,6.3,M3 V,,0
L 98-59,d,L 98-59 d,Transit,0,3,7.45086,0.00004,-0.00005,0,0.052,0.004,-0.004,0,0.2,0.32,-0.16,0,0.14,0.012,-0.012,0,,,,0,0,0,0,0,08h18m07.62s,124.53175,-68d18m46.80s,-68.313,10.62,0,0,0,10.62,0,0,0,,,,,10.598,,0,3367,150,-150,0,0.31,0.01,-0.01,0,0.31,0.01,-0.01,0,6/13/2019,,,,0,Transiting Exoplanet Survey Satellite (TESS),94.14,0.03,-0.03,0,-5.8,0.1,-0.1,0,6.3,M3 V,,0
