pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-1622,b,Kepler-1622 b,Transit,0,1,10.8118737,0.0001009,-0.0001009,0,,,,,,,,,,,,,,,,,,0.131,0.061,-0.024,0,,,,,0,1,0,1,19h49m18.94s,297.32891,+47d48m55.7s,47.815472,927,412.54,-159.49,0,815.16,9.41,-9.41,0,13.385,,0,Kepler-band,13.344,,0,6436,154.47,-172.76,0,1.31,0.22,-0.13,0,1.5,0.69,-0.26,0,5/10/2016,Kepler
HATS-27,b,HATS-27 b,Transit,0,1,4.637038,0.000014,-0.000014,0,0.0611,0.00068,-0.00068,0,0.581,,,1,87.3,1.3,-1.3,0,0.53,0.13,-0.13,0,Mass,1.5,0.2,-0.11,0,0.18,0.083,-0.057,0,0,0,0,0,12h54m12.61s,193.55256,-46d35m15.8s,-46.587715,840,80,-51,0,834.58,40.53,-40.53,0,12.766,0.04,0,V (Johnson),12.679,,0,6438,64,-64,0,1.42,0.05,-0.05,0,1.74,0.17,-0.1,0,6/9/2016,HATSouth
CoRoT-11,b,CoRoT-11 b,Transit,0,1,2.99433,0.000011,-0.000011,0,0.0436,0.005,-0.005,0,0,,,0,83.17,0.15,-0.15,0,2.33,0.34,-0.34,0,Mass,1.43,0.03,-0.03,0,0.99,0.15,-0.15,0,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560,30,-30,0,666.35,24.68,-24.68,0,12.939,0.019,0,V (Johnson),12.841,,0,6440,120,-120,0,1.27,0.05,-0.05,0,1.37,0.03,-0.03,0,5/14/2014,CoRoT
HAT-P-34,b,HAT-P-34 b,Transit,0,1,5.45265,0.000016,-0.000016,0,,,,0,0.44,0.03,-0.03,0,87.1,1.2,-1.2,0,7.01,2.75,-2.75,0,Mass,1.35,0.23,-0.23,0,,,,0,0,0,0,1,20h12m46.88s,303.195342,+18d06m17.5s,18.104868,251.08,2.79,-2.79,0,251.08,2.79,-2.79,0,10.162,0.073,0,V (Johnson),10.194,,0,6442,88,-88,0,4.26,2.47,-2.47,0,1.73,0.29,-0.29,0,4/26/2018,HATNet
HAT-P-33,b,HAT-P-33 b,Transit,0,1,3.47447,0.000001,-0.000001,0,,,,0,0,,,0,87.2,0.05,-0.05,0,0.92,0.5,-0.5,0,Mass,1.85,0.49,-0.49,0,,,,0,0,0,0,0,07h32m44.21s,113.184212,+33d50m06.2s,33.835052,400.55,7.62,-7.62,0,400.55,7.62,-7.62,0,11.188,,0,V (Johnson),11.024,,0,6446,88,-88,0,1.82,1.45,-1.45,0,1.79,0.48,-0.48,0,4/26/2018,HATNet
Kepler-1345,b,Kepler-1345 b,Transit,0,1,44.6169557,0.0003329,-0.0003329,0,,,,,,,,,,,,,,,,,,0.211,0.095,-0.041,0,,,,,0,1,0,1,19h29m54.71s,292.477965,+46d01m22.2s,46.022835,1164,507.55,-227.09,0,1410.15,26,-26,0,13.791,,0,Kepler-band,13.705,,0,6449,123.48,-141.28,0,1.32,0.22,-0.14,0,1.55,0.69,-0.3,0,5/10/2016,Kepler
HATS-45,b,HATS-45 b,Transit,0,1,4.1876244,0.0000056,-0.0000056,0,0.05511,0.00069,-0.00069,0,0.24,,,1,85.61,0.42,-0.42,0,0.7,0.15,-0.15,0,Mass,1.286,0.093,-0.093,0,0.41,0.16,-0.11,0,0,0,0,0,06h47m58.63s,101.994293,-21d54m38.5s,-21.910694,818,41,-41,0,789.58,11.57,-11.57,0,13.307,0.05,0,V (Johnson),13.239,,0,6450,110,-110,0,1.27,0.05,-0.05,0,1.31,0.06,-0.06,0,5/24/2018,HATSouth
WASP-120,b,WASP-120 b,Transit,0,1,3.6112706,0.0000043,-0.0000043,0,0.0514,0.0007,-0.0007,0,0.057,0.022,-0.018,0,82.54,0.78,-0.78,0,4.85,0.21,-0.21,0,Mass,1.473,0.096,-0.096,0,2,0.44,-0.34,0,0,0,0,0,04h10m27.85s,62.616051,-45d53m53.6s,-45.89822,437,21,-21,0,385.41,3.25,-3.25,0,11,,0,V (Johnson),10.899,,0,6450,120,-120,0,1.39,0.06,-0.06,0,1.87,0.11,-0.11,0,6/3/2016,SuperWASP
Kepler-1000,b,Kepler-1000 b,Transit,0,1,120.0181272,0.0003628,-0.0003628,0,,,,,,,,,,,,,,,,,,0.425,0.03,-0.028,0,,,,,0,1,0,1,19h06m44.53s,286.685523,+47d05m53.6s,47.098221,925,51.17,-50.08,0,1152.75,17.7,-17.7,0,13.256,,0,Kepler-band,13.192,,0,6453,74.15,-73.42,0,1.4,0.04,-0.04,0,1.51,0.08,-0.07,0,5/10/2016,Kepler
Kepler-493,b,Kepler-493 b,Transit,0,1,3.00387658,0.00000099,-0.00000099,0,,,,,,,,,,,,,,,,,,1.35,0.446,-0.227,0,,,,,0,1,0,1,19h41m13.81s,295.30754,+38d52m53.9s,38.881639,1942,622.45,-341.11,0,1834.76,81.45,-81.45,0,14.996,,0,Kepler-band,15.035,,0,6457,210.24,-229.75,0,1.36,0.16,-0.14,0,1.54,0.51,-0.26,0,5/10/2016,Kepler
